[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/db/models/functions/text.py first seen with mtime 1603993651.1413226
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/forms/__init__.py first seen with mtime 1603993651.155284
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/forms/fields.py first seen with mtime 1603993651.157279
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/json/__init__.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/json/encoder.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/auth_app/Position/serializers/__init__.py first seen with mtime 1604011765.9292338
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/importlib/__init__.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/site.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/db/__init__.py first seen with mtime 1603993651.0178683
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/psycopg2/errors.py first seen with mtime 1603999961.9246688
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/auth_app/Position/serializers/PositionSerializer.py first seen with mtime 1604013088.6485572
